LeadID,LeadDateKey,CampaignKey,ChannelKey,SourceKey,RegionKey,AudienceKey,PreviousStatusKey,PreviousStatusLabel,CurrentStatusKey,CurrentStatusLabel,ReachedLead,ReachedMQL,ReachedSQL,ReachedOpportunity,ReachedClosedWon,IsClosedLost,IsClosedWon,PipelineAmount,RevenueAmount
L02840,20220210,15,1,2,2,8,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,26828,0
L02910,20220210,15,1,2,2,8,4.0,Opportunity,5,Closed Won,1,1,1,1,1,0,1,0,21005
L00905,20220212,5,5,13,4,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L03000,20220212,15,1,2,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01039,20220213,5,5,13,4,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L03031,20220213,15,1,2,2,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L01128,20220214,5,5,13,3,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L03003,20220214,15,1,2,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02867,20220216,15,1,2,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02967,20220216,15,1,2,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L03023,20220217,15,1,2,3,8,4.0,Opportunity,5,Closed Won,1,1,1,1,1,0,1,0,17947
L03042,20220217,15,1,2,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L03068,20220217,15,1,2,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L03029,20220218,15,1,2,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02874,20220219,15,1,2,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02894,20220219,15,1,2,3,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02936,20220219,15,1,2,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L03039,20220219,15,1,2,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L03064,20220219,15,1,2,2,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L01078,20220220,5,5,13,3,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02959,20220222,15,1,2,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L01051,20220223,5,5,13,4,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02971,20220223,15,1,2,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L03044,20220223,15,1,2,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L00943,20220228,5,5,13,3,8,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L02992,20220228,15,1,2,3,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L00606,20220301,4,4,10,4,2,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L00976,20220301,5,5,13,3,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L01655,20220301,9,2,6,2,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01771,20220301,9,2,6,3,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L00595,20220302,4,4,10,5,2,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00853,20220302,4,4,10,5,2,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00822,20220303,4,4,10,3,2,3.0,SQL,6,Closed Lost,1,1,1,0,0,1,0,0,0
L01750,20220303,9,2,6,3,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L00835,20220304,4,4,10,3,2,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01014,20220304,5,5,13,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02893,20220304,15,1,2,3,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00733,20220305,4,4,10,2,2,,,1,Lead,1,0,0,0,0,0,0,0,0
L00918,20220306,5,5,13,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L00971,20220306,5,5,13,2,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L01099,20220306,5,5,13,4,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02928,20220306,15,1,2,3,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00869,20220307,5,5,13,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00881,20220307,5,5,13,3,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00952,20220307,5,5,13,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L01693,20220307,9,2,6,5,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L01772,20220307,9,2,6,5,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00621,20220309,4,4,10,2,2,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00863,20220309,5,5,13,3,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L01646,20220310,9,2,6,2,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00603,20220311,4,4,10,5,2,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L00658,20220311,4,4,10,5,2,,,1,Lead,1,0,0,0,0,0,0,0,0
L00993,20220311,5,5,13,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L01674,20220311,9,2,6,5,5,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,14132,0
L00791,20220312,4,4,10,3,2,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00927,20220313,5,5,13,4,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L01667,20220313,9,2,6,5,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01749,20220313,9,2,6,2,5,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L03062,20220313,15,1,2,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01638,20220314,9,2,6,2,5,3.0,SQL,6,Closed Lost,1,1,1,0,0,1,0,0,0
L01723,20220314,9,2,6,2,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02878,20220314,15,1,2,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L01688,20220315,9,2,6,2,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L00806,20220316,4,4,10,2,2,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L00898,20220316,5,5,13,4,8,4.0,Opportunity,5,Closed Won,1,1,1,1,1,0,1,0,24693
L01673,20220316,9,2,6,2,5,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L02826,20220316,15,1,2,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02833,20220316,15,1,2,3,8,4.0,Opportunity,6,Closed Lost,1,1,1,1,0,1,0,0,0
L00891,20220317,5,5,13,4,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02923,20220317,15,1,2,2,8,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,21837,0
L02935,20220317,15,1,2,3,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L00845,20220318,4,4,10,2,2,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,11690,0
L00983,20220318,5,5,13,4,8,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L01019,20220318,5,5,13,4,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01754,20220319,9,2,6,5,5,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,13793,0
L00703,20220321,4,4,10,2,2,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L01624,20220321,9,2,6,3,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01627,20220321,9,2,6,2,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L02825,20220322,15,1,2,2,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L03035,20220322,15,1,2,2,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L00916,20220323,5,5,13,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L01022,20220323,5,5,13,3,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L01641,20220323,9,2,6,2,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L01683,20220323,9,2,6,3,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00738,20220324,4,4,10,4,2,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L00895,20220324,5,5,13,2,8,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L01626,20220324,9,2,6,3,5,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L00596,20220325,4,4,10,4,2,,,1,Lead,1,0,0,0,0,0,0,0,0
L00647,20220325,4,4,10,2,2,3.0,SQL,6,Closed Lost,1,1,1,0,0,1,0,0,0
L01622,20220325,9,2,6,3,5,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L01736,20220325,9,2,6,3,5,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L03054,20220325,15,1,2,3,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L00790,20220326,4,4,10,4,2,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L00876,20220326,5,5,13,4,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00900,20220326,5,5,13,2,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L01800,20220326,9,2,6,5,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L00872,20220327,5,5,13,4,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L01712,20220327,9,2,6,5,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L02871,20220327,15,1,2,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00831,20220328,4,4,10,5,2,,,1,Lead,1,0,0,0,0,0,0,0,0
L01146,20220328,5,5,13,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02855,20220328,15,1,2,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L03030,20220328,15,1,2,2,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L02899,20220329,15,1,2,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L01110,20220330,5,5,13,4,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01138,20220330,5,5,13,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02969,20220330,15,1,2,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00751,20220331,4,4,10,2,2,,,1,Lead,1,0,0,0,0,0,0,0,0
L01753,20220331,9,2,6,2,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L01759,20220331,9,2,6,2,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L03060,20220331,15,1,2,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00754,20220401,4,4,10,3,2,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,13336,0
L01664,20220401,9,2,6,5,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L01975,20220401,11,4,10,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02157,20220401,11,4,10,4,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02920,20220401,15,1,2,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00762,20220403,4,4,10,5,2,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,12938,0
L01633,20220403,9,2,6,2,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L02070,20220403,11,4,10,4,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L02214,20220403,11,4,10,4,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02890,20220403,15,1,2,3,8,4.0,Opportunity,5,Closed Won,1,1,1,1,1,0,1,0,15134
L00608,20220404,4,4,10,3,2,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01631,20220404,9,2,6,2,5,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L01786,20220404,9,2,6,5,5,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L01760,20220405,9,2,6,3,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L02879,20220405,15,1,2,2,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L00736,20220406,4,4,10,5,2,3.0,SQL,6,Closed Lost,1,1,1,0,0,1,0,0,0
L01639,20220406,9,2,6,3,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01970,20220406,11,4,10,5,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02211,20220406,11,4,10,2,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L01755,20220407,9,2,6,5,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L01999,20220407,11,4,10,2,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L02953,20220407,15,1,2,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L01801,20220408,9,2,6,3,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L02232,20220408,11,4,10,3,8,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,21219,0
L02320,20220408,11,4,10,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02919,20220408,15,1,2,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02869,20220409,15,1,2,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02909,20220409,15,1,2,2,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L02921,20220409,15,1,2,3,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00719,20220411,4,4,10,2,2,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L00785,20220411,4,4,10,5,2,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01682,20220411,9,2,6,2,5,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L02907,20220411,15,1,2,3,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01796,20220412,9,2,6,5,5,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L02071,20220412,11,4,10,4,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02229,20220412,11,4,10,5,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02270,20220412,11,4,10,4,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01144,20220413,5,5,13,3,8,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L02198,20220413,11,4,10,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L00917,20220414,5,5,13,2,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L02266,20220414,11,4,10,5,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02984,20220414,15,1,2,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L03051,20220414,15,1,2,3,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00659,20220415,4,4,10,2,2,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L00928,20220415,5,5,13,4,8,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L02158,20220415,11,4,10,5,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02888,20220415,15,1,2,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02970,20220415,15,1,2,2,8,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L03006,20220415,15,1,2,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L03017,20220415,15,1,2,3,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L03072,20220415,15,1,2,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L01085,20220416,5,5,13,3,8,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,21549,0
L02107,20220416,11,4,10,2,8,4.0,Opportunity,5,Closed Won,1,1,1,1,1,0,1,0,18153
L02249,20220416,11,4,10,5,8,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L03045,20220416,15,1,2,2,8,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L00601,20220417,4,4,10,3,2,,,1,Lead,1,0,0,0,0,0,0,0,0
L00634,20220417,4,4,10,5,2,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L00794,20220417,4,4,10,4,2,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L01060,20220417,5,5,13,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L01141,20220417,5,5,13,2,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L01733,20220417,9,2,6,2,5,3.0,SQL,6,Closed Lost,1,1,1,0,0,1,0,0,0
L01752,20220417,9,2,6,3,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01769,20220417,9,2,6,2,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L02133,20220417,11,4,10,2,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L02287,20220417,11,4,10,5,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02827,20220417,15,1,2,2,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L00963,20220418,5,5,13,3,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L01129,20220418,5,5,13,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02254,20220418,11,4,10,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02865,20220418,15,1,2,3,8,4.0,Opportunity,5,Closed Won,1,1,1,1,1,0,1,0,20388
L00967,20220419,5,5,13,2,8,3.0,SQL,6,Closed Lost,1,1,1,0,0,1,0,0,0
L01017,20220419,5,5,13,2,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L01732,20220419,9,2,6,5,5,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,20090,0
L02312,20220419,11,4,10,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L01069,20220420,5,5,13,4,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L01719,20220420,9,2,6,3,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L02043,20220420,11,4,10,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02176,20220421,11,4,10,4,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02277,20220421,11,4,10,4,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02849,20220421,15,1,2,2,8,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,25573,0
L00797,20220422,4,4,10,2,2,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00932,20220422,5,5,13,4,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L01748,20220422,9,2,6,5,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02991,20220422,15,1,2,2,8,4.0,Opportunity,5,Closed Won,1,1,1,1,1,0,1,0,14712
L01063,20220423,5,5,13,4,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L01115,20220423,5,5,13,4,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L01699,20220423,9,2,6,2,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L01645,20220424,9,2,6,3,5,3.0,SQL,6,Closed Lost,1,1,1,0,0,1,0,0,0
L01774,20220424,9,2,6,5,5,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,14621,0
L02001,20220424,11,4,10,4,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L02911,20220424,15,1,2,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L00707,20220425,4,4,10,2,2,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00964,20220425,5,5,13,2,8,4.0,Opportunity,5,Closed Won,1,1,1,1,1,0,1,0,20988
L01008,20220425,5,5,13,4,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L01792,20220425,9,2,6,5,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L02088,20220425,11,4,10,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02241,20220425,11,4,10,4,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L02885,20220425,15,1,2,3,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02976,20220425,15,1,2,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L03014,20220425,15,1,2,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L00599,20220426,4,4,10,5,2,,,1,Lead,1,0,0,0,0,0,0,0,0
L01690,20220426,9,2,6,3,5,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L01726,20220426,9,2,6,3,5,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L01739,20220426,9,2,6,2,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02038,20220426,11,4,10,5,8,3.0,SQL,6,Closed Lost,1,1,1,0,0,1,0,0,0
L02105,20220426,11,4,10,5,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L00979,20220427,5,5,13,2,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L01021,20220427,5,5,13,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01029,20220427,5,5,13,2,8,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L01766,20220427,9,2,6,5,5,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,12546,0
L01795,20220427,9,2,6,2,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L02056,20220427,11,4,10,4,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02872,20220427,15,1,2,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L00874,20220428,5,5,13,2,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L00910,20220428,5,5,13,4,8,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L01647,20220428,9,2,6,2,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02248,20220428,11,4,10,5,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L00616,20220429,4,4,10,4,2,,,1,Lead,1,0,0,0,0,0,0,0,0
L00664,20220429,4,4,10,4,2,,,1,Lead,1,0,0,0,0,0,0,0,0
L00973,20220429,5,5,13,4,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L01798,20220429,9,2,6,5,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00618,20220430,4,4,10,3,2,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01698,20220430,9,2,6,5,5,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02831,20220430,15,1,2,2,8,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,18178,0
L00947,20220501,5,5,13,4,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L02097,20220501,11,4,10,5,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L00728,20220502,4,4,10,3,2,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L01050,20220502,5,5,13,3,8,3.0,SQL,6,Closed Lost,1,1,1,0,0,1,0,0,0
L01106,20220502,5,5,13,3,8,4.0,Opportunity,6,Closed Lost,1,1,1,1,0,1,0,0,0
L00802,20220503,4,4,10,4,2,,,1,Lead,1,0,0,0,0,0,0,0,0
L02188,20220504,11,4,10,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00712,20220505,4,4,10,2,2,,,1,Lead,1,0,0,0,0,0,0,0,0
L01032,20220506,5,5,13,4,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L01763,20220506,9,2,6,3,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L02255,20220506,11,4,10,4,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02303,20220506,11,4,10,2,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L03011,20220506,15,1,2,2,8,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,20467,0
L03025,20220506,15,1,2,3,8,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L00745,20220507,4,4,10,5,2,,,1,Lead,1,0,0,0,0,0,0,0,0
L01745,20220507,9,2,6,5,5,3.0,SQL,4,Opportunity,1,1,1,1,0,0,0,17165,0
L02280,20220507,11,4,10,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L00673,20220508,4,4,10,5,2,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00730,20220508,4,4,10,4,2,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L00875,20220508,5,5,13,4,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L00629,20220509,4,4,10,5,2,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02075,20220509,11,4,10,4,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02185,20220509,11,4,10,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02944,20220509,15,1,2,2,8,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L01652,20220510,9,2,6,5,5,,,1,Lead,1,0,0,0,0,0,0,0,0
L01737,20220510,9,2,6,5,5,2.0,MQL,3,SQL,1,1,1,0,0,0,0,0,0
L02311,20220510,11,4,10,4,8,,,1,Lead,1,0,0,0,0,0,0,0,0
